q1,q2,q3,q4,q5,q6_1,q6_2,q7,q8,q9,q10_1,q11_1,q11_2,q12,q13,q14version1,q14version2,q15group1,q15group2,q15group3,q15group4,q15group5,q15group6,q15group7,q15group8,q16,q17,q18_1,q18_2,q18_3,q18_4,q18_5,q19_1,q19_2,q19_3,q20,q21,q22,exp_ind,issue,protester_approval,justified_arrests,aggressive,law_abiding,dangerous,respectful,caring,violent,lawful,threatening,unauthorized,violence,obey,Putin,missing_justified,missing_approval,m_aggressive,m_law_abiding,m_dangerous,m_respectful,m_caring,m_violent,m_lawful,m_threatening
61,72,4,1,7,4,4,3,7,2,5,2,3,1,6,,3,1,,,,,,,,1,0,4,1,4,1,1,1,4,1,5,3,4,1,0,5,0,1,5,1,5,5,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,22,3,1,4,5,4,1,5,1,5,4,4,1,1,2,,,,,3,,,,,3,10,1,98,98,99,98,98,4,1,5,3,3,4,0,2,10,5,3,3,3,3,3,1,5,1,1,1,1,0,0,0,1,1,1,1,1,0,0
55,59,6,1,6,2,2,2,2,3,3,1,2,1,4,,3,,,,,,,,5,5,3,98,98,98,98,98,98,98,98,4,2,1,8,1,3,3,3,3,3,3,3,3,3,3,1,1,0,0,0,1,1,1,1,1,1,1,1,1
58,32,1,1,2,5,5,1,5,1,5,2,3,1,1,3,,,3,,,,,,,3,10,1,1,1,1,1,1,3,1,5,3,5,2,0,2,10,5,5,5,5,5,5,2,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0
69,37,1,1,6,1,1,2,2,1,2,2,2,1,5,,1,,,,,1,,,,1,0,4,1,4,1,1,4,1,98,2,1,1,5,1,5,0,1,5,1,5,5,1,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
61,49,5,1,7,4,4,1,5,1,5,3,3,2,2,3,,,,4,,,,,,3,0,4,1,4,4,4,4,2,4,4,4,4,3,0,2,0,1,5,1,1,1,1,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
56,36,1,1,2,1,1,2,2,2,4,1,4,1,4,,1,1,,,,,,,,1,0,1,4,3,4,2,1,3,2,2,2,3,1,0,5,0,5,1,2,1,4,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,18,4,1,2,5,5,1,5,3,5,5,5,1,6,,1,1,,,,,,,,2,1,2,2,99,99,99,4,3,3,5,3,3,1,0,4,1,4,4,3,3,3,1,2,2,0,0,0,1,0,0,0,0,1,1,1,0,0,0
71,9,3,1,7,2,3,2,2,3,4,1,2,2,1,3,,,,,,,,,5,2,11,98,98,98,98,98,98,98,98,2,2,3,8,1,4,5,3,3,3,3,3,3,3,3,1,1,0,0,1,0,1,1,1,1,1,1,1,1
65,80,2,1,4,5,5,1,5,1,5,2,3,2,1,2,,,4,,,,,,,4,10,2,2,1,1,1,98,4,1,6,5,4,2,0,1,10,4,4,5,5,5,3,1,5,0,1,1,1,0,0,0,0,0,0,0,1,0,0
61,50,4,1,6,1,1,2,7,2,3,2,2,1,4,1,,,,,2,,,,,1,0,3,3,3,1,1,2,3,1,5,1,1,4,0,5,0,2,2,2,5,5,4,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,46,5,1,6,5,5,1,5,1,5,3,3,1,1,,3,,,,,,4,,,4,10,1,4,1,4,4,1,4,98,6,3,5,6,1,1,10,5,1,5,1,1,5,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1
56,3,4,1,4,6,2,3,7,2,7,3,3,1,4,,1,,,,,5,,,,5,1,4,1,4,2,98,4,2,4,4,2,3,5,1,3,1,1,5,1,4,3,1,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
56,33,2,1,7,1,1,2,7,2,2,1,1,1,2,,2,,,,,,2,,,1,0,3,2,4,1,1,4,2,4,5,1,1,6,1,5,0,2,4,1,5,5,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,42,2,1,5,4,4,1,5,3,4,1,5,2,4,,3,,,,,,,3,,3,7,2,3,2,3,4,3,3,2,6,3,2,7,1,2,7,4,2,4,2,1,2,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0
68,41,7,1,7,4,4,1,6,3,4,1,2,1,5,2,,,,,,,,5,,2,5,3,3,3,2,2,4,3,3,5,3,3,7,1,4,5,2,2,2,4,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,41,7,1,6,5,5,1,5,1,5,1,3,1,4,,3,,,4,,,,,,5,10,2,4,2,3,2,1,4,1,3,3,3,3,0,3,10,4,1,4,2,4,5,1,5,1,0,1,1,0,1,0,0,0,0,0,0,0,0
67,85,4,1,4,5,4,1,5,1,5,2,3,2,1,2,,,,,3,,,,,2,0,1,3,1,3,4,4,3,2,5,3,4,4,0,4,0,5,2,5,2,1,1,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0
55,63,5,1,6,5,5,1,5,1,5,2,2,1,4,,3,1,,,,,,,,1,0,4,1,4,1,1,4,1,4,4,5,3,1,0,5,0,1,5,1,5,5,1,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
64,14,5,1,2,5,5,1,5,1,5,4,4,2,1,2,,,,,,5,,,,5,11,98,98,98,98,98,99,99,99,4,4,5,5,1,3,5,3,3,3,3,3,3,3,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1
66,59,6,2,6,5,5,1,5,3,5,2,3,1,1,,3,,3,,,,,,,2,7,2,4,2,3,98,2,3,1,4,1,4,2,0,4,7,4,1,4,2,3,4,2,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0
55,68,1,1,4,7,1,4,7,2,5,5,5,4,4,1,,,,,,,,,2,1,0,4,1,4,99,99,99,99,99,5,3,1,8,1,5,0,1,5,1,3,3,3,3,3,1,1,0,0,0,0,0,0,0,1,1,1,1,1
72,80,1,1,7,3,2,3,6,2,4,1,3,1,4,,2,,,,,1,,,,2,0,3,1,4,2,2,4,2,3,4,2,2,5,1,4,0,2,5,1,4,4,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,41,7,1,4,1,1,2,2,2,5,2,2,1,4,,1,,,,2,,,,,1,1,4,2,4,1,1,3,98,3,2,2,2,4,0,5,1,1,4,1,5,5,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
56,41,7,1,4,5,5,1,5,1,5,2,3,1,4,2,,,,4,,,,,,3,10,4,4,4,4,4,1,4,4,4,4,4,3,0,2,10,1,1,1,1,1,5,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
68,52,4,1,6,4,4,3,2,1,5,2,3,1,4,2,,,,,,,,,4,3,10,2,4,2,4,4,2,4,2,5,2,2,8,1,2,10,4,1,4,1,1,4,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0
