q1,q2,q3,q4,q5,q6_1,q6_2,q7,q8,q9,q10_1,q11_1,q11_2,q12,q13,q14version1,q14version2,q15group1,q15group2,q15group3,q15group4,q15group5,q15group6,q15group7,q15group8,q16,q17,q18_1,q18_2,q18_3,q18_4,q18_5,q19_1,q19_2,q19_3,q20,q21,q22,exp_ind,issue,protester_approval,justified_arrests,aggressive,law_abiding,dangerous,respectful,caring,violent,lawful,threatening,unauthorized,violence,obey,Putin,missing_justified,missing_approval,m_aggressive,m_law_abiding,m_dangerous,m_respectful,m_caring,m_violent,m_lawful,m_threatening
57,54,5,1,5,3,2,1,5,2,5,2,2,1,4,4,,1,,,,,,,,1,0,4,1,4,1,1,4,1,4,1,1,1,1,0,5,0,1,5,1,5,5,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,32,5,1,6,5,5,1,5,1,5,2,3,1,1,,3,,,5,,,,,,2,6,3,3,3,98,98,4,3,4,5,3,3,3,0,4,6,2,2,2,3,3,1,2,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0
70,56,3,1,4,5,5,1,5,1,5,1,3,1,2,2,,,4,,,,,,,1,0,1,4,1,3,4,3,2,4,4,5,2,2,0,5,0,5,1,5,2,1,2,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
60,58,5,1,5,2,2,2,7,1,4,2,3,2,1,,2,,,,,,,4,,2,9,3,3,3,98,99,4,3,98,5,2,4,7,1,4,9,2,2,2,3,3,1,2,3,1,0,1,0,0,0,0,0,0,1,1,0,0,1
58,59,6,1,2,5,5,1,5,1,5,1,3,1,1,3,,,,,,,,,4,2,10,1,4,1,4,4,2,4,1,7,5,5,8,1,4,10,5,1,5,1,1,4,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0
65,75,4,1,6,2,3,1,5,2,4,1,3,1,4,3,,,,,,1,,,,1,0,4,1,4,1,1,4,1,4,4,3,2,5,1,5,0,1,5,1,5,5,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,12,4,1,4,4,4,1,5,1,5,1,3,1,1,,5,,,,,,3,,,3,9,2,1,98,98,98,2,4,2,4,3,4,6,1,2,9,4,5,3,3,3,4,1,4,0,1,1,1,0,0,0,0,1,1,1,0,0,0
63,48,5,1,7,1,1,2,8,2,1,1,1,1,4,,3,,,,1,,,,,1,0,4,2,4,1,1,4,2,2,4,2,1,4,0,5,0,1,4,1,5,5,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
62,70,1,1,6,4,3,3,7,1,5,2,3,1,3,2,,,,2,,,,,,2,4,98,98,98,98,2,98,98,98,5,1,1,3,0,4,4,3,3,3,3,4,3,3,3,1,0,1,0,0,0,1,1,1,1,0,1,1,1
55,37,1,1,3,5,5,3,9,1,4,3,3,1,4,,2,,4,,,,,,,4,11,98,98,98,98,98,98,98,98,2,2,2,2,0,1,5,3,3,3,3,3,3,3,3,0,1,1,0,1,0,1,1,1,1,1,1,1,1
65,44,3,1,2,3,2,1,7,1,4,2,3,2,1,1,,,,,2,,,,,1,8,4,98,4,98,98,4,4,1,2,1,2,4,0,5,8,1,3,1,3,3,1,1,5,1,1,1,0,0,0,0,1,0,1,1,0,0,0
57,46,3,1,4,5,5,1,5,1,5,4,4,2,6,,3,,,,,,3,,,3,10,98,98,98,98,98,98,98,98,4,3,5,6,1,2,10,3,3,3,3,3,3,3,3,0,1,1,1,0,0,1,1,1,1,1,1,1,1
55,3,1,1,4,4,3,1,8,1,5,1,3,2,1,3,,,3,,,,,,,5,9,3,1,4,1,1,4,1,4,4,3,4,2,0,3,9,2,5,1,5,5,1,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
76,41,7,1,8,5,5,1,5,1,5,1,3,1,4,3,,,,4,,,,,,3,10,3,4,2,4,4,1,4,1,7,3,5,3,0,2,10,2,1,4,1,1,5,1,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0
60,58,5,1,6,5,4,1,5,2,5,2,3,1,1,,3,,,,,5,,,,5,11,4,1,3,3,3,4,2,3,6,2,4,5,1,3,5,1,5,2,2,2,1,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0
63,46,5,1,2,3,3,2,8,3,5,2,3,3,4,,2,1,,,,,,,,1,0,4,1,4,1,1,4,1,4,4,3,6,1,0,5,0,1,5,1,5,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,61,1,1,5,2,3,2,2,2,1,2,3,1,4,2,,,,,,,,,2,1,2,2,2,3,2,2,2,3,1,3,4,2,8,1,5,2,4,4,2,4,4,4,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
59,4,2,1,6,1,1,2,9,1,5,2,4,2,5,,2,,,,,,,5,,5,11,98,98,98,98,98,98,98,98,4,4,1,7,1,3,5,3,3,3,3,3,3,3,3,1,0,1,0,1,1,1,1,1,1,1,1,1,1
58,12,5,1,7,5,4,1,5,1,5,4,3,1,1,3,,,,,3,,,,,2,10,3,2,1,4,98,98,98,2,5,3,4,4,0,4,10,2,4,5,1,3,3,3,4,1,1,1,1,0,0,0,0,0,0,1,1,1,0
66,41,7,1,2,5,5,1,5,1,5,2,3,1,2,2,,,,,,,4,,,1,10,1,4,1,4,4,1,4,1,6,3,4,6,1,5,10,5,1,5,1,1,5,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0
66,47,2,1,7,2,2,2,2,2,5,1,2,1,4,2,,,,,,,,1,,1,0,4,3,4,4,1,3,3,1,5,3,3,7,1,5,0,1,2,1,1,5,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,49,4,1,2,5,4,1,5,3,5,4,4,3,1,,5,5,,,,,,,,5,11,98,98,98,98,98,98,98,98,3,3,3,1,0,3,5,3,3,3,3,3,3,3,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1
62,26,2,1,4,5,4,1,5,1,5,1,3,1,1,,3,,,3,,,,,,1,6,4,1,4,2,98,3,3,3,5,3,4,3,0,5,6,1,5,1,4,3,2,2,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0
54,59,6,1,7,1,2,2,8,2,4,1,2,1,2,,1,,3,,,,,,,1,7,2,2,3,2,2,4,2,3,4,2,3,2,0,5,7,4,4,2,4,4,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,46,5,1,6,3,3,3,7,1,4,1,2,1,4,1,,,,,,2,,,,2,2,4,2,2,1,98,98,2,2,6,4,2,5,1,4,2,1,4,4,5,3,3,4,4,0,0,1,0,0,0,0,0,0,0,1,1,0,0
62,15,4,1,5,5,5,1,5,1,5,2,3,1,1,3,,2,,,,,,,,3,0,1,4,1,4,4,3,3,2,3,3,3,1,0,2,0,5,1,5,1,1,2,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0
64,49,5,1,6,5,5,1,5,1,5,2,2,1,1,,5,,,,,1,,,,1,10,1,1,1,1,1,1,1,1,5,2,4,5,1,5,10,5,5,5,5,5,5,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
58,53,4,1,2,5,5,1,5,1,5,2,3,1,1,2,,,3,,,,,,,2,5,4,2,4,2,2,98,2,2,4,3,4,2,0,4,5,1,4,1,4,4,3,4,4,0,1,1,1,0,0,0,0,0,0,0,1,0,0
63,49,5,1,6,5,5,1,5,1,5,2,3,1,1,,3,,,,,,,3,,3,9,2,3,2,3,3,3,3,3,4,2,5,7,1,2,9,4,2,4,2,2,2,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
66,29,1,1,6,4,4,2,2,2,5,2,2,1,1,3,,,,,2,,,,,2,1,1,4,1,4,4,3,2,2,2,2,2,4,0,4,1,5,1,5,1,1,2,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
57,12,5,1,6,4,4,1,1,1,4,2,2,2,1,,3,,,1,,,,,,1,10,2,1,3,98,1,4,3,1,4,2,4,3,0,5,10,4,5,2,3,5,1,2,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0
64,58,4,1,7,5,4,1,5,1,5,3,3,2,4,1,,,,,,,3,,,3,2,3,3,2,4,4,3,2,3,5,3,4,6,1,2,2,2,2,4,1,1,2,4,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0
64,58,1,1,4,5,5,1,5,2,5,2,3,1,1,,3,,,,,,,4,,4,10,1,4,1,4,4,4,4,4,5,4,5,7,1,1,10,5,1,5,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
68,42,4,1,4,5,4,1,5,1,5,1,3,1,1,,2,,,,,1,,,,1,0,98,98,98,98,1,98,1,98,2,2,2,5,1,5,0,3,3,3,3,5,3,5,3,0,0,1,1,0,0,1,1,1,1,0,1,0,1
69,69,5,1,7,5,5,1,5,2,5,1,3,1,1,2,,,,,,,3,,,5,11,2,3,1,3,3,98,98,98,4,3,4,6,1,3,5,4,2,5,2,2,3,3,3,0,1,0,1,1,1,0,0,0,0,0,1,1,1
57,56,5,1,4,2,2,2,7,1,5,1,2,2,4,,3,,,5,,,,,,2,1,4,98,4,98,2,98,98,98,5,4,6,3,0,4,1,1,3,1,3,4,3,3,3,1,0,1,0,0,0,0,1,0,1,0,1,1,1
56,58,5,1,6,5,4,1,5,2,5,1,2,1,1,2,,1,,,,,,,,2,0,4,1,4,2,2,4,1,4,5,3,4,1,0,4,0,1,5,1,4,4,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,59,6,1,4,4,4,1,5,2,5,2,3,2,2,,5,,,,,,,,2,3,5,2,3,2,4,3,1,3,2,5,3,2,8,1,2,5,4,2,4,1,2,5,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0
59,31,3,1,4,1,1,2,8,2,7,2,2,1,2,2,,,1,,,,,,,1,0,3,3,2,4,4,4,2,1,2,1,1,2,0,5,0,2,2,4,1,1,1,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,37,6,1,7,4,4,1,5,1,5,2,3,1,2,2,,,,,3,,,,,2,6,3,3,3,2,2,4,4,2,5,3,3,4,0,4,6,2,2,2,4,4,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0
68,63,3,1,4,3,2,3,7,1,5,2,4,1,3,,2,,,,,,3,,,1,5,4,3,3,2,1,3,2,2,5,4,3,6,1,5,5,1,2,2,4,5,2,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0
57,59,6,1,5,5,4,1,5,1,5,2,3,1,4,,3,,,4,,,,,,5,9,2,2,2,3,4,98,4,2,5,2,4,3,0,3,9,4,4,4,2,1,3,1,4,1,0,1,1,0,1,0,0,0,0,0,1,0,0
56,85,1,1,4,5,5,1,5,1,5,3,3,2,1,1,,,,,,,,,3,3,10,1,1,1,1,1,1,1,1,1,1,3,8,1,2,10,5,5,5,5,5,5,5,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0
66,72,3,1,4,2,2,3,9,2,5,5,5,2,4,,4,,,,,2,,,,2,1,4,1,4,1,1,4,2,4,5,2,1,5,1,4,1,1,5,1,5,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,41,7,1,6,4,4,1,1,1,5,2,3,1,4,2,,,,,4,,,,,5,1,3,2,4,2,2,3,3,3,5,4,6,4,0,3,1,2,4,1,4,4,2,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0
61,56,4,1,4,4,4,1,5,2,5,4,4,2,1,,3,,5,,,,,,,5,11,98,98,98,98,98,98,98,98,5,3,6,2,0,3,5,3,3,3,3,3,3,3,3,0,1,0,1,1,1,1,1,1,1,1,1,1,1
63,53,5,1,2,4,4,1,5,1,5,2,3,1,4,,5,1,,,,,,,,1,3,1,4,1,4,4,3,2,3,4,3,4,1,0,5,3,5,1,5,1,1,2,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
62,31,3,1,6,4,4,1,1,2,5,2,3,1,1,2,,,,,,,,,2,2,11,3,4,4,2,2,4,2,4,2,2,4,8,1,4,5,2,1,1,4,4,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
60,42,3,1,6,5,5,1,5,2,5,2,3,1,4,2,,,,,,,4,,,2,10,1,3,2,3,98,98,4,2,4,3,3,6,1,4,10,5,2,4,2,3,3,1,4,0,1,0,1,0,0,0,0,0,0,1,1,0,0
57,7,1,1,6,5,4,1,5,1,5,2,3,1,4,,3,,,,,,,4,,4,9,98,4,3,4,98,2,4,2,5,2,5,7,1,1,9,3,1,2,1,3,4,1,4,1,0,1,1,0,0,1,0,0,0,1,0,0,0
72,42,2,1,6,5,5,1,5,1,5,2,3,1,1,,5,,,,,,4,,,4,10,2,3,2,4,4,2,3,2,4,3,4,6,1,1,10,4,2,4,1,1,4,2,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0
59,41,7,1,4,4,4,1,5,1,5,2,3,1,2,2,,,,3,,,,,,2,10,4,4,3,4,3,4,4,4,2,3,5,3,0,4,10,1,1,2,1,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
63,32,2,1,5,5,5,1,5,1,5,1,3,1,1,,3,,1,,,,,,,1,11,4,1,4,2,1,4,1,4,4,4,4,2,0,5,5,1,5,1,4,5,1,5,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
60,63,2,1,2,5,5,1,9,3,5,4,4,2,1,,3,,,,5,,,,,5,11,98,98,98,98,98,98,98,98,8,4,5,4,0,3,5,3,3,3,3,3,3,3,3,1,1,0,0,1,1,1,1,1,1,1,1,1,1
38,53,5,1,4,5,5,1,5,2,5,1,3,1,1,1,,,,,,3,,,,3,0,3,1,4,2,2,4,1,4,6,2,5,5,1,2,0,2,5,1,4,4,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,41,7,1,2,5,4,1,5,1,5,3,3,1,1,2,,2,,,,,,,,2,0,4,1,98,3,98,4,1,4,5,3,3,1,0,4,0,1,5,3,2,3,1,5,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
82,53,1,1,6,2,2,2,8,2,2,1,2,2,4,3,,,,,,,,1,,1,0,3,2,4,1,1,4,3,1,4,2,2,7,1,5,0,2,4,1,5,5,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,36,1,1,2,1,1,2,2,2,5,2,2,2,4,,1,,,,,1,,,,1,0,1,1,4,1,1,1,1,4,4,2,6,5,1,5,0,5,5,1,5,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3,4,1,4,7,7,4,7,4,7,4,4,2,4,,1,,,,,,4,,,6,12,3,98,2,98,98,98,98,98,4,2,6,6,1,3,5,2,3,4,3,3,3,3,3,0,1,0,0,1,1,0,1,0,1,1,1,1,1
75,9,3,1,6,5,5,1,5,1,5,2,3,1,1,2,,,,,,,,,4,3,10,1,4,98,4,4,1,3,2,4,5,5,8,1,2,10,5,1,3,1,1,5,2,4,1,1,1,1,0,0,0,0,1,0,0,0,0,0
64,13,3,1,6,5,4,1,5,2,5,2,3,1,4,3,,,4,,,,,,,1,5,4,2,4,98,2,4,2,3,5,3,5,2,0,5,5,1,4,1,3,4,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0
58,38,4,1,4,4,4,1,5,2,5,2,3,1,1,,3,2,,,,,,,,2,1,1,4,2,4,3,3,1,4,5,2,4,1,0,4,1,5,1,4,1,2,2,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,56,5,1,7,6,6,4,10,3,4,5,4,6,4,1,,,,6,,,,,,6,11,99,99,99,99,99,98,98,98,5,2,2,3,0,3,5,3,3,3,3,3,3,3,3,1,0,0,0,1,1,1,1,1,1,1,1,1,1
59,65,1,1,4,5,5,1,5,1,5,3,3,3,4,,5,,,,,,,4,,4,1,99,99,99,99,99,99,99,99,4,3,4,7,1,1,1,3,3,3,3,3,3,3,3,1,0,1,1,0,0,1,1,1,1,1,1,1,1
69,17,3,1,7,5,5,1,5,1,4,4,4,1,1,3,,,,,,5,,,,5,11,98,98,98,98,98,98,98,98,4,3,5,5,1,3,5,3,3,3,3,3,3,3,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1
60,42,4,1,4,1,1,2,2,2,2,1,1,2,4,,4,,,,1,,,,,1,0,4,1,4,1,1,3,1,1,4,1,1,4,0,5,0,1,5,1,5,5,2,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
65,80,2,1,7,5,5,1,5,1,5,2,3,2,5,,3,,,,,,,3,,3,7,3,3,2,3,4,3,4,3,4,3,4,7,1,2,7,2,2,4,2,1,2,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
57,32,1,1,4,5,4,1,5,2,5,2,3,2,1,2,,,,,3,,,,,2,10,3,4,1,4,98,4,3,1,4,4,4,4,0,4,10,2,1,5,1,3,1,2,5,1,1,0,1,0,0,0,0,0,0,1,0,0,0
60,76,4,1,5,5,5,1,5,2,5,2,3,1,1,,5,2,,,,,,,,3,0,3,1,4,3,3,3,2,3,6,3,3,1,0,2,0,2,5,1,2,2,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,48,5,1,4,3,3,3,2,1,3,2,2,3,1,1,,,,5,,,,,,5,2,1,1,4,2,98,98,98,4,5,3,3,3,0,3,2,5,5,1,4,3,3,3,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0
58,14,4,1,6,4,4,1,5,1,5,3,4,2,1,2,,,,,,,3,,,5,5,2,98,2,3,98,98,98,2,4,3,3,6,1,3,5,4,3,4,2,3,3,3,4,0,1,1,1,0,1,0,1,0,0,1,1,1,0
61,12,4,1,4,4,4,1,5,1,5,1,3,1,1,,5,,,,,,,,4,4,1,2,2,1,3,2,98,4,2,4,3,4,8,1,1,1,4,4,5,2,4,3,1,4,1,1,1,1,0,0,0,0,0,0,0,1,0,0
57,41,1,1,7,5,5,1,5,1,5,1,3,1,2,,5,,4,,,,,,,2,10,1,4,1,4,4,1,4,1,5,3,3,2,0,4,10,5,1,5,1,1,5,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0
64,36,1,1,4,5,5,1,5,1,5,1,3,1,1,,5,,1,,,,,,,1,0,4,1,4,1,1,4,1,4,3,2,4,2,0,5,0,1,5,1,5,5,1,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
68,20,1,1,2,5,5,1,5,1,5,2,2,1,1,3,,,,,,,,,4,4,5,2,3,4,4,2,2,3,4,2,3,3,8,1,1,5,4,2,1,1,4,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
60,41,7,1,8,1,1,2,6,1,1,2,2,2,4,2,,,,,,,3,,,2,0,98,98,1,98,98,98,98,1,5,2,2,6,1,4,0,3,3,5,3,3,3,3,5,0,1,1,0,0,0,1,1,0,1,1,1,1,0
57,63,3,1,3,5,5,1,5,1,5,2,3,2,4,3,,2,,,,,,,,2,0,2,4,1,3,3,4,1,4,2,1,4,1,0,4,0,4,1,5,2,2,1,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
60,46,5,1,7,2,2,2,7,2,4,2,2,2,1,,2,,,3,,,,,,3,5,2,3,2,3,3,2,3,2,4,2,2,3,0,2,5,4,2,4,2,2,4,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,65,2,1,6,6,6,3,9,2,4,4,4,4,4,,1,,,,,5,,,,5,11,98,98,98,98,98,98,98,98,2,3,6,5,1,3,5,3,3,3,3,3,3,3,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1
66,41,7,1,7,5,5,1,5,1,5,2,3,1,5,,3,,,,4,,,,,2,10,1,4,1,4,3,1,4,1,5,3,3,4,0,4,10,5,1,5,1,2,5,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0
61,59,6,1,6,4,3,1,5,2,5,1,3,2,4,2,,,,,,,,5,,5,8,3,2,3,3,2,2,2,3,5,4,5,7,1,3,8,2,4,2,2,4,4,4,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0
62,8,2,1,7,4,4,1,5,1,5,3,3,1,4,2,,,,4,,,,,,3,10,2,4,2,3,3,4,4,2,6,3,3,3,0,2,10,4,1,4,2,2,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0
60,9,1,1,2,3,3,1,5,1,5,2,3,1,2,3,,4,,,,,,,,3,10,4,1,1,4,4,1,4,1,4,2,4,1,0,2,10,1,5,5,1,1,5,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
62,59,6,1,5,1,1,2,6,2,3,1,1,2,5,4,,,,,1,,,,,1,0,3,3,4,1,2,4,2,1,2,1,1,4,0,5,0,2,2,1,5,4,1,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
61,49,5,1,2,6,6,3,9,3,5,5,4,1,2,,1,,5,,,,,,,5,11,98,98,98,98,98,98,98,98,2,2,6,2,0,3,5,3,3,3,3,3,3,3,3,0,1,0,0,1,1,1,1,1,1,1,1,1,1
63,8,1,1,4,4,3,1,2,2,5,1,3,2,4,,3,,,,,,,3,,5,10,1,4,1,98,2,4,4,4,5,3,3,7,1,3,10,5,1,5,3,4,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
66,60,4,1,7,5,5,1,5,2,5,2,3,1,1,2,,,,,,2,,,,2,5,3,2,4,2,2,3,2,3,5,3,4,5,1,4,5,2,4,1,4,4,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,20,1,1,5,4,4,1,5,1,6,2,4,3,2,,5,,,,,,,,3,2,6,4,3,4,3,3,4,2,2,3,2,4,8,1,4,6,1,2,1,2,2,1,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0
61,79,2,1,5,6,4,1,1,1,4,4,4,1,1,,5,,,,,,5,,,5,11,98,4,2,4,98,98,4,1,2,3,5,6,1,3,5,3,1,4,1,3,3,1,5,0,1,1,0,1,1,1,0,0,0,1,1,0,0
60,48,5,1,6,4,4,1,5,1,5,2,3,1,1,2,,,,2,,,,,,2,0,4,1,4,1,3,1,4,1,2,3,2,3,0,4,0,1,5,1,5,2,5,1,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0
61,53,5,1,6,3,3,3,3,1,4,3,3,2,4,1,,,,,5,,,,,2,5,3,3,3,3,3,3,3,3,4,3,3,4,0,4,5,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
65,60,5,1,6,4,3,1,5,1,5,2,3,2,5,,3,,4,,,,,,,1,0,4,2,4,2,2,4,1,4,4,3,2,2,0,5,0,1,4,1,4,4,1,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
56,42,2,1,6,5,4,1,5,1,5,4,3,1,1,,3,,,,,,,2,,3,8,2,3,2,3,4,3,4,2,5,4,5,7,1,2,8,4,2,4,2,1,2,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0
57,38,1,1,6,5,4,1,5,1,5,1,3,1,5,2,,2,,,,,,,,2,0,4,1,4,1,1,4,1,4,5,5,4,1,0,4,0,1,5,1,5,5,1,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
65,70,1,1,7,3,2,1,2,1,5,2,3,1,1,2,,,,,,,,,2,2,5,3,2,4,3,3,3,3,2,6,3,3,8,1,4,5,2,4,1,2,2,2,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0
66,42,2,1,6,5,3,1,5,3,5,2,3,1,1,2,,,,,,2,,,,2,5,98,98,98,98,98,4,1,98,4,1,6,5,1,4,5,3,3,3,3,3,1,5,3,0,0,0,1,0,0,1,1,1,1,1,0,0,1
55,63,1,1,4,4,4,1,9,2,5,4,4,2,1,,3,,,,,,3,,,2,11,98,98,98,98,98,4,98,2,5,3,5,6,1,4,5,3,3,3,3,3,1,3,4,0,1,0,0,1,0,1,1,1,1,1,0,1,0
65,50,4,1,6,5,5,1,5,1,5,1,3,1,1,,2,,3,,,,,,,2,0,3,2,4,4,4,2,3,1,5,4,5,2,0,4,0,2,4,1,1,1,4,2,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0
66,12,5,1,7,5,5,1,5,1,5,1,3,2,2,2,,,,,,2,,,,2,1,4,98,4,2,2,4,1,4,5,3,4,5,1,4,1,1,3,1,4,4,1,5,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
62,56,1,1,4,4,4,1,2,1,4,2,3,1,4,,5,,,,,,3,,,2,7,2,2,3,3,4,3,2,2,4,3,2,6,1,4,7,4,4,2,2,1,2,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0
59,46,5,1,6,5,5,1,5,1,5,2,3,1,1,,3,,,,,,,4,,2,6,2,4,3,3,3,3,4,3,5,3,3,7,1,4,6,4,1,2,2,2,2,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
62,60,4,1,6,4,4,1,5,1,5,4,4,4,1,,1,,,,,,,,5,5,11,98,98,98,98,98,98,98,98,2,1,3,8,1,3,5,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,70,1,1,3,5,5,1,5,1,5,2,3,1,1,2,,,,,4,,,,,2,10,2,3,2,3,3,3,4,1,3,2,3,4,0,4,10,4,2,4,2,2,2,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0
57,63,3,1,4,4,4,1,5,2,5,2,3,1,1,2,,,,3,,,,,,3,4,3,3,3,2,2,3,3,3,4,4,4,3,0,2,4,2,2,2,4,4,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
61,41,7,1,7,5,5,1,9,1,5,1,3,2,4,3,,2,,,,,,,,2,3,2,2,3,2,2,3,3,3,4,3,3,1,0,4,3,4,4,2,4,4,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,7,1,1,4,4,3,1,5,2,4,2,3,3,1,,3,,,2,,,,,,1,5,4,4,4,2,3,4,2,3,5,2,4,3,0,5,5,1,1,1,4,2,1,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
57,67,1,1,4,4,4,1,5,2,4,4,4,2,1,2,,,,,,,,,5,5,4,3,3,3,3,3,3,3,3,3,3,2,8,1,3,4,2,2,2,2,2,2,2,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0
62,32,1,1,4,3,2,2,7,3,5,4,4,3,3,,2,,,,,2,,,,2,5,98,98,98,98,98,98,98,98,4,2,1,5,1,4,5,3,3,3,3,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,1,1
55,63,5,1,7,5,5,1,5,1,5,2,3,1,1,,3,,,,,,,4,,3,10,1,4,2,4,4,3,4,3,5,4,4,7,1,2,10,5,1,4,1,1,2,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
64,65,2,1,6,5,5,1,5,2,5,2,3,1,5,2,,,,,3,,,,,3,3,2,3,2,4,4,98,98,2,6,3,4,4,0,2,3,4,2,4,1,1,3,3,4,1,1,0,1,0,0,0,0,0,0,0,1,1,0
59,41,7,1,4,4,4,1,5,2,5,1,3,1,1,3,,,3,,,,,,,3,10,1,3,1,3,3,4,4,4,4,3,2,2,0,2,10,5,2,5,2,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
63,30,3,1,3,4,4,3,9,1,5,2,2,2,1,,3,2,,,,,,,,2,0,2,98,4,98,2,3,2,3,4,4,6,1,0,4,0,4,3,1,3,4,2,4,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0
62,76,2,1,4,4,4,1,5,3,5,2,2,2,1,,5,,,,,,3,,,2,0,4,2,3,2,98,3,2,2,4,3,6,6,1,4,0,1,4,2,4,3,2,4,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
60,29,1,1,4,4,4,1,5,3,5,2,2,5,1,3,,,4,,,,,,,3,10,1,1,1,1,1,1,3,1,5,5,5,2,0,2,10,5,5,5,5,5,5,2,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0
