,source_name,,origin,is_social_media
393,MTV.online,,1,
394,Atmosfera,,0,
395,GTRK Kaliningrad,,0,
396,Nasha Niva,,0,
397,Life News,,0,
398,Iskra Kungur,,0,
399,Anapa Region,,0,
400,Soroka Media,,0,
401,GTRK Smolensk,,0,
402,Newsler.ru,,0,
403,Susanin News,,0,
404,VL.ru,,0,
405,Rossiyskaya Gazeta,,0,
406,53news,,0,
407,Vladnews,,0,
408,Primgazeta,,0,
409,OVD Info,,0,
410,Vremya Press,,0,
411,Neva Today,,0,
412,Sovetsky Sakhalin,,0,
413,Kmvcity.ru,,0,
414,AMIC,,0,
415,FridaysForFuture,,1,
416,Politics Today,,0,
417,KPRFNSK,,0,
418,Staryy Oskol 1,,0,
419,Russia Matters,,1,
420,Novgorod,,0,
421,KhabarovskTV,,0,
422,KTR,,,
423,KVNews.ru,,0,
424,Crimean Tatar Resource Centre,,1,
425,Greenpeace International,,1,
426,Murman.ru,,0,
427,TV Rain,,0,
428,Punkt-A,,0,
429,Readovka67,,0,
430,Mosaica,,0,
431,Yakutia Info,,0,
432,GTRK Oryol,,0,
433,Vysota 102,,0,
434,Gubernia TV,,0,
435,ATR Telekanal,,0,
436,IRK.ru,,0,
437,Baikal24,,0,
438,NewsYkt,,0,
439,Echo Moscow,,0,
440,Novyi Kompanyon,,0,
441,M-Brain,,1,
442,Snob,,0,
443,Izhlife,,0,
444,Delovoy Peterburg,,0,
445,Real Tagil,,0,
446,Vash Gorod,,0,
447,448verst,,0,
448,Telekanal Zabaykalya,,0,
449,Vecherniy Murmansk,,0,
450,Novosti Saratova,,0,
451,NGS55,,0,
452,Ridus,,0,
453,Amnesty International,,1,
454,AFP,,1,
455,Ryazanskaya Gazeta,,0,
456,OTV,,0,
457,Charter-97,,1,
458,Newsroom24,,0,
459,RusNews,,0,
460,AS Baikal,,0,
461,Kirsanovskaya Gazeta,,0,
462,ProGorodSamara,,0,
463,Liveuamap,,1,
464,Udm-Info,,0,
465,Yandex News,,0,
466,Klinskaya Nedelya,,0,
467,Regnum,,0,
468,Bloknot-Krasnodar,,0,
469,ATVmedia,,0,
470,ZMINA,,1,
471,RTL Nieuws,,1,
472,1rnd.ru,,0,
473,Bel.ru,,0,
474,Sampo TV 360,,0,
475,Bloknot-Volzhsky,,0,
476,Polit.ru,,0,
477,RTS,,0,
478,Baza,,0,
479,OnlineTambov.ru,,0,
480,Channel 31,,0,
481,Keytown,,0,
482,Tverigrad,,0,
483,Golos-Kubani.ru,,0,
484,Kuban TV,,0,
485,Live Birobidzhan,,0,
486,Lenizdat,,0,
487,Sputnik News Service,,0,
488,Kolyma.ru,,0,
489,Kartalinskaya Nov,,0,
490,Penzanews,,0,
491,WhiteCounter,,0,
492,NewsRU,,0,
493,GTRK Dalnevostochnaya TV,,0,
494,Novosti Altaya,,0,
495,161.ru,,0,
496,Unified Development Register,,,
